Id;Author;Answer;Ignore;Content
100;Wife;116;101;"Deer ____,
by the time you will read this letter, we will have parted for many moons. For me, you just left a few days ago. I've organized the delivery of some basic necessities as we had discussed. Hopefully, they will be waiting for you at the cottage. The old mans house is not nothing spectacular, but it should keep you warm in your endevour.
My nights have been filled with horror. I dream that you never arrive. I dream that you will never return.
 But as we decided I will wait for you.
Yours truly,
______"
101;Wife;116;102;"My beloved _____,
I knew the journy would be a long one, but I believed that by now I would have heard back from you. Maybe by the time you receive this letter your response will have already found its way back to me. I hope the land under the cottage is as blessed as you believed.
The nights keep getting longer, yet i don't get more sleep.
Please come back soon so i can sleep with you again.
With love,
_______"
102;Wife;116;103;"Grief 1

Shock and Denial"
103;Wife;114;104;"Grief 2

Pain and Guild"
104;Wife;114;105;"Grief 3

Anger and bargaining"
105;Wife;114;106;"Grief 4

Depression"
106;Wife;109;107;"Grief 5

Upward turn."
107;Wife;109;108;"Grief 6

Reconstruction"
108;Wife;109;;"Grief 7

Acceptance

END"
109;Wife;110;112;too late im out
110;Wife;111;112;stop sending letters to me
111;Wife;112;112;"i've moved foreward

I want you out of my life

I will not respond"
112;Wife;;;goodbye.
113;Wife;110;112;"Upset Raging

Vengeful"
114;Wife;115;113;"anger

disappointment

fear"
115;Wife;117;120;Forgiving
116;Wife;117;;"happiness

relieved

curiosity"
117;Wife;118;;Excited, Hopeful
118;Wife;119;;Loving Caring
119;Wife;120;;"Melancholic

Impatient"
120;Wife;121;;"Troubled

Helpless"
121;Wife;122;;No future
122;Wife;109;112;I've met someone else
123;;;;
124;;;;
125;;;;
126;;;;
127;;;;
128;;;;
129;;;;
130;;;;
131;;;;
132;;;;
133;;;;
134;;;;
135;;;;
136;;;;
137;;;;
138;;;;
139;;;;
140;;;;
141;;;;
142;;;;
143;;;;
144;;;;
145;;;;
146;;;;
147;;;;
148;;;;
149;;;;
150;;;;
151;;;;
152;;;;
153;;;;
154;;;;
155;;;;
156;;;;
157;;;;
158;;;;
159;;;;
160;;;;
161;;;;
162;;;;
163;;;;
164;;;;
165;;;;
166;;;;
167;;;;
168;;;;
169;;;;
170;;;;
171;;;;
172;;;;
173;;;;
174;;;;
175;;;;
176;;;;
177;;;;
178;;;;
179;;;;
180;;;;
181;;;;
182;;;;
183;;;;
184;;;;
185;;;;
186;;;;
187;;;;
188;;;;
189;;;;
190;;;;
191;;;;
192;;;;
193;;;;
194;;;;
195;;;;
196;;;;
197;;;;
198;;;;
199;;;;
200;;;;
201;;;;
202;;;;
203;;;;
204;;;;
205;;;;
206;;;;
207;;;;
208;;;;
209;;;;
210;;;;
211;;;;
212;;;;
213;;;;
214;;;;
215;;;;
216;;;;
217;;;;
218;;;;
219;;;;
220;;;;
221;;;;
222;;;;
223;;;;
224;;;;
225;;;;
226;;;;
227;;;;
228;;;;
229;;;;
230;;;;
231;;;;
232;;;;
233;;;;
234;;;;
235;;;;
236;;;;
237;;;;
238;;;;
239;;;;
240;;;;
241;;;;
242;;;;
243;;;;
244;;;;
245;;;;
246;;;;
247;;;;
248;;;;
249;;;;
250;;;;
251;;;;
252;;;;
253;;;;
254;;;;
255;;;;
256;;;;
257;;;;
258;;;;
259;;;;
260;;;;
261;;;;
262;;;;
263;;;;
264;;;;
265;;;;
266;;;;
267;;;;
268;;;;
269;;;;
270;;;;
271;;;;
272;;;;
273;;;;
274;;;;
275;;;;
276;;;;
277;;;;
278;;;;
279;;;;
280;;;;
281;;;;
282;;;;
283;;;;
284;;;;
285;;;;
286;;;;
287;;;;
288;;;;
289;;;;
290;;;;
291;;;;
292;;;;
293;;;;
294;;;;
295;;;;
296;;;;
297;;;;
298;;;;
299;;;;
300;;;;
301;;;;
302;;;;
303;;;;
304;;;;
305;;;;
306;;;;
307;;;;
308;;;;
309;;;;
310;;;;
311;;;;
312;;;;
313;;;;
314;;;;
315;;;;
316;;;;
317;;;;
318;;;;
319;;;;
320;;;;
321;;;;
322;;;;
323;;;;
324;;;;
325;;;;
326;;;;
327;;;;
328;;;;
329;;;;
330;;;;
331;;;;
332;;;;
333;;;;
334;;;;
335;;;;
336;;;;
337;;;;
338;;;;
339;;;;
340;;;;
341;;;;
342;;;;
343;;;;
344;;;;
345;;;;
346;;;;
